wd11cd,wd11nm,Cluster,Gym,Poverty_family,GreenSpace
E05000026,Abbey,4,10.0,0.0,0.0
E05000027,Alibon,2,0.0,0.0,0.0
E05000028,Becontree,4,10.0,0.0,0.0
E05000029,Chadwell Heath,4,10.0,0.0,0.0
E05000030,Eastbrook,4,10.0,0.0,0.0
E05000031,Eastbury,4,9.8965028,0.1034972,0.0
E05000032,Gascoigne,4,10.0,0.0,0.0
E05000033,Goresbrook,4,10.0,0.0,0.0
E05000034,Heath,4,10.0,0.0,0.0
E05000035,Longbridge,1,10.0,0.0,0.0
E05000036,Mayesbrook,0,0.0,10.0,0.0
E05000037,Parsloes,4,10.0,0.0,0.0
E05000038,River,2,0.0,10.0,0.0
E05000039,Thames,4,10.0,0.0,0.0
E05000040,Valence,4,10.0,0.0,0.0
E05000041,Village,3,10.0,0.0,0.0
E05000042,Whalebone,2,10.0,0.0,0.0
E05000043,Brunswick Park,2,0.0,0.0,0.0
E05000044,Burnt Oak,2,0.0,10.0,0.0
E05000045,Childs Hill,2,0.0,0.0,0.0
E05000046,Colindale,0,10.0,0.0,0.0
E05000047,Coppetts,2,0.0,0.0,0.0
E05000048,East Barnet,1,0.0,0.0,0.0
E05000049,East Finchley,1,0.0,0.0,0.0
E05000050,Edgware,2,0.0,0.0,0.0
E05000051,Finchley Church End,1,0.0,0.0,0.0
E05000052,Garden Suburb,2,0.0,0.0,0.0
E05000053,Golders Green,2,0.0,0.0,0.0
E05000054,Hale,2,0.0,0.0,0.0
E05000055,Hendon,1,0.0,0.0,0.0
E05000056,High Barnet,1,0.0,0.0,0.0
E05000057,Mill Hill,0,0.0,0.0,0.0
E05000058,Oakleigh,2,0.0,0.0,0.0
E05000059,Totteridge,1,0.0,0.0,0.0
E05000060,Underhill,2,0.0,0.0,0.0
E05000061,West Finchley,2,0.0,0.0,0.0
E05000062,West Hendon,1,0.0,0.0,0.0
E05000063,Woodhouse,2,0.0,0.0,0.0
E05000064,Barnehurst,2,10.0,0.0,0.0
E05000065,Belvedere,4,0.0,10.0,0.0
E05000066,Blackfen and Lamorbey,1,0.0,0.0,0.0
E05000067,Blendon and Penhill,1,0.0,0.0,0.0
E05000068,Brampton,2,0.0,0.0,0.0
E05000069,Christchurch,1,0.0,0.0,0.0
E05000070,Colyers,4,10.0,0.0,0.0
E05000071,Crayford,4,0.0,10.0,0.0
E05000072,Cray Meadows,4,10.0,0.0,0.0
E05000073,Danson Park,2,10.0,0.0,0.0
E05000074,East Wickham,2,10.0,0.0,0.0
E05000075,Erith,0,10.0,0.0,0.0
E05000076,Falconwood and Welling,2,10.0,0.0,0.0
E05000077,Lesnes Abbey,2,0.0,10.0,0.0
E05000078,Longlands,1,0.0,0.0,0.0
E05000079,North End,4,10.0,0.0,0.0
E05000080,Northumberland Heath,4,0.0,10.0,0.0
E05000081,St Mary's,1,0.0,0.0,0.0
E05000082,St Michael's,2,10.0,0.0,0.0
E05000083,Sidcup,1,0.0,0.0,0.0
E05000084,Thamesmead East,4,10.0,0.0,0.0
E05000085,Alperton,1,0.0,0.0,0.0
E05000086,Barnhill,2,10.0,0.0,0.0
E05000087,Brondesbury Park,2,0.0,0.0,0.0
E05000088,Dollis Hill,2,10.0,0.0,0.0
E05000089,Dudden Hill,2,0.0,10.0,0.0
E05000090,Fryent,2,0.0,0.0,0.0
E05000091,Harlesden,2,10.0,0.0,0.0
E05000092,Kensal Green,2,10.0,0.0,0.0
E05000093,Kenton,2,0.0,0.0,0.0
E05000094,Kilburn,4,10.0,0.0,0.0
E05000095,Mapesbury,2,10.0,0.0,0.0
E05000096,Northwick Park,2,10.0,0.0,0.0
E05000097,Preston,2,0.0,0.0,0.0
E05000098,Queens Park,2,0.0,0.0,0.0
E05000099,Queensbury,2,10.0,0.0,0.0
E05000100,Stonebridge,4,10.0,0.0,0.0
E05000101,Sudbury,2,0.0,0.0,0.0
E05000102,Tokyngton,1,10.0,0.0,0.0
E05000103,Welsh Harp,2,10.0,0.0,0.0
E05000104,Wembley Central,1,0.0,0.0,0.0
E05000105,Willesden Green,0,10.0,0.0,0.0
E05000106,Bickley,1,0.0,0.0,0.0
E05000107,Biggin Hill,1,0.0,0.0,0.0
E05000108,Bromley Common and Keston,1,0.0,0.0,0.0
E05000109,Bromley Town,1,0.0,0.0,0.0
E05000110,Chelsfield and Pratts Bottom,1,0.0,0.0,0.0
E05000111,Chislehurst,1,0.0,0.0,0.0
E05000112,Clock House,2,0.0,0.0,0.0
E05000113,Copers Cope,2,0.0,0.0,0.0
E05000114,Cray Valley East,4,0.0,0.0,0.0
E05000115,Cray Valley West,4,0.0,0.0,0.0
E05000116,Crystal Palace,3,10.0,0.0,0.0
E05000117,Darwin,1,0.0,0.0,0.0
E05000118,Farnborough and Crofton,1,0.0,0.0,0.0
E05000119,Hayes and Coney Hall,0,0.0,0.0,0.0
E05000120,Kelsey and Eden Park,2,0.0,0.0,0.0
E05000121,Mottingham and Chislehurst North,4,10.0,0.0,0.0
E05000122,Orpington,4,10.0,0.0,0.0
E05000123,Penge and Cator,2,10.0,0.0,0.0
E05000124,Petts Wood and Knoll,1,0.0,0.0,0.0
E05000125,Plaistow and Sundridge,1,0.0,0.0,0.0
E05000126,Shortlands,2,0.0,0.0,0.0
E05000127,West Wickham,2,0.0,0.0,0.0
E05000128,Belsize,2,0.0,0.0,0.0
E05000129,Bloomsbury,1,10.0,0.0,0.0
E05000130,Camden Town with Primrose Hill,4,0.0,0.0,0.0
E05000131,Cantelowes,4,0.0,0.0,0.0
E05000132,Fortune Green,2,0.0,0.0,0.0
E05000133,Frognal and Fitzjohns,1,0.0,0.0,0.0
E05000134,Gospel Oak,4,10.0,0.0,0.0
E05000135,Hampstead Town,1,0.0,0.0,0.0
E05000136,Haverstock,4,10.0,0.0,0.0
E05000137,Highgate,0,0.0,0.0,0.0
E05000138,Holborn and Covent Garden,4,0.0,0.0,0.0
E05000139,Kentish Town,4,0.0,0.0,0.0
E05000140,Kilburn,4,10.0,0.0,0.0
E05000141,King's Cross,4,0.0,0.0,0.0
E05000142,Regent's Park,4,10.0,0.0,0.0
E05000143,St Pancras and Somers Town,4,0.0,10.0,0.0
E05000144,Swiss Cottage,2,0.0,0.0,0.0
E05000145,West Hampstead,2,0.0,0.0,0.0
E05000146,Addiscombe,2,0.0,0.0,0.0
E05000147,Ashburton,2,10.0,0.0,0.0
E05000148,Bensham Manor,2,10.0,0.0,0.0
E05000149,Broad Green,2,10.0,0.0,0.0
E05000150,Coulsdon East,1,0.0,0.0,0.0
E05000151,Coulsdon West,0,0.0,0.0,0.0
E05000152,Croham,2,0.0,0.0,0.0
E05000153,Fairfield,2,0.0,0.0,0.0
E05000154,Fieldway,4,10.0,0.0,0.0
E05000155,Heathfield,2,0.0,0.0,0.0
E05000156,Kenley,2,0.0,0.0,0.0
E05000157,New Addington,2,10.0,0.0,0.0
E05000158,Norbury,2,0.0,0.0,0.0
E05000159,Purley,2,0.0,0.0,0.0
E05000160,Sanderstead,2,0.0,0.0,0.0
E05000161,Selhurst,2,10.0,0.0,0.0
E05000162,Selsdon and Ballards,2,0.0,0.0,0.0
E05000163,Shirley,2,10.0,0.0,0.0
E05000164,South Norwood,2,10.0,0.0,0.0
E05000165,Thornton Heath,2,10.0,0.0,0.0
E05000166,Upper Norwood,2,10.0,0.0,0.0
E05000167,Waddon,2,0.0,0.0,0.0
E05000168,West Thornton,2,10.0,0.0,0.0
E05000169,Woodside,0,10.0,0.0,0.0
E05000170,Acton Central,2,0.0,0.0,0.0
E05000171,Cleveland,2,0.0,0.0,0.0
E05000172,Dormers Wells,4,10.0,0.0,0.0
E05000173,Ealing Broadway,1,0.0,0.0,0.0
E05000174,Ealing Common,2,0.0,0.0,0.0
E05000175,East Acton,4,10.0,0.0,0.0
E05000176,Elthorne,4,0.0,0.0,0.0
E05000177,Greenford Broadway,4,10.0,0.0,0.0
E05000178,Greenford Green,2,0.0,0.0,0.0
E05000179,Hanger Hill,2,0.0,0.0,0.0
E05000180,Hobbayne,4,0.0,0.0,0.0
E05000181,Lady Margaret,2,10.0,0.0,0.0
E05000182,Northfield,1,0.0,0.0,0.0
E05000183,North Greenford,1,0.0,0.0,0.0
E05000184,Northolt Mandeville,4,10.0,0.0,0.0
E05000185,Northolt West End,4,10.0,0.0,0.0
E05000186,Norwood Green,4,0.0,0.0,0.0
E05000187,Perivale,0,10.0,0.0,0.0
